PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  2.7563
    0.000000    0.000000    0.000000   0 'Ag    '     2.7904  116.7736    0.0000
    27    3   2.000  index, nleg, degeneracy, r=  4.2796
      x           y           z     ipot  label      rleg      beta        eta
   -0.820000   -1.918000   -2.048500   2 'Ag    '     2.9236  121.6274    0.0000
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.8291  117.5022    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8065  120.8704    0.0000
    28    3   2.000  index, nleg, degeneracy, r=  4.2879
      x           y           z     ipot  label      rleg      beta        eta
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.8065  121.9856    0.0000
    1.850000   -0.616000    2.013500   2 'Ag    '     2.9664  121.8656    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8029  116.1487    0.0000
    29    3   2.000  index, nleg, degeneracy, r=  4.2990
      x           y           z     ipot  label      rleg      beta        eta
    1.787500   -0.993500   -2.179000   2 'Ag    '     2.9884  122.1341    0.0000
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.8032  115.6226    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8065  122.2433    0.0000
    30    3   2.000  index, nleg, degeneracy, r=  4.3023
      x           y           z     ipot  label      rleg      beta        eta
   -1.909500    0.631000    2.067000   2 'Ag    '     2.8839  122.6469    0.0000
    0.708500    1.934500    1.882000   2 'Ag    '     2.9304  119.5145    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7904  117.8387    0.0000
    31    3   2.000  index, nleg, degeneracy, r=  4.3109
      x           y           z     ipot  label      rleg      beta        eta
   -2.730500   -1.156500    0.027000   2 'Ag    '     2.9654  122.9329    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.8683  116.7800    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879  120.2870    0.0000
    32    3   2.000  index, nleg, degeneracy, r=  4.3143
      x           y           z     ipot  label      rleg      beta        eta
    1.787500   -0.993500   -2.179000   2 'Ag    '     2.9884  124.0463    0.0000
    0.804000    1.712000   -2.005000   2 'Ag    '     2.8840  116.0603    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7563  119.8934    0.0000
    33    3   2.000  index, nleg, degeneracy, r=  4.3302
      x           y           z     ipot  label      rleg      beta        eta
   -1.990500    0.714500   -2.096500   2 'Ag    '     2.9779  120.6846    0.0000
   -1.190000    2.605000   -0.173000   2 'Ag    '     2.8133  116.8000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8692  122.5154    0.0000
    34    3   2.000  index, nleg, degeneracy, r=  4.3408
      x           y           z     ipot  label      rleg      beta        eta
    1.787500   -0.993500   -2.179000   2 'Ag    '     2.9884  119.1125    0.0000
   -0.820000   -1.918000   -2.048500   2 'Ag    '     2.7696  116.7456    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.9236  124.1419    0.0000
    35    3   2.000  index, nleg, degeneracy, r=  4.3416
      x           y           z     ipot  label      rleg      beta        eta
   -2.730500   -1.156500    0.027000   2 'Ag    '     2.9654  120.4108    0.0000
   -1.909500    0.631000    2.067000   2 'Ag    '     2.8339  117.5255    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8839  122.0638    0.0000
    36    3   2.000  index, nleg, degeneracy, r=  4.3514
      x           y           z     ipot  label      rleg      beta        eta
   -1.990500    0.714500   -2.096500   2 'Ag    '     2.9779  124.7711    0.0000
    0.804000    1.712000   -2.005000   2 'Ag    '     2.9686  117.4432    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7563  117.7858    0.0000
    37    2   1.000  index, nleg, degeneracy, r=  4.3625
      x           y           z     ipot  label      rleg      beta        eta
    3.922500   -1.906500    0.104000   2 'Ag    '     4.3625  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.3625  180.0000    0.0000
    38    3   2.000  index, nleg, degeneracy, r=  4.3915
      x           y           z     ipot  label      rleg      beta        eta
   -1.990500    0.714500   -2.096500   2 'Ag    '     2.9779  120.1634    0.0000
   -0.820000   -1.918000   -2.048500   2 'Ag    '     2.8814  118.2787    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.9236  121.5578    0.0000
    39    3   2.000  index, nleg, degeneracy, r=  4.3957
      x           y           z     ipot  label      rleg      beta        eta
    1.787500   -0.993500   -2.179000   2 'Ag    '     2.9884  123.5521    0.0000
    2.649000    0.969000   -0.108000   2 'Ag    '     2.9804  118.0813    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8227  118.3666    0.0000
    40    3   2.000  index, nleg, degeneracy, r=  4.4055
      x           y           z     ipot  label      rleg      beta        eta
   -2.730500   -1.156500    0.027000   2 'Ag    '     2.9654  120.4561    0.0000
   -0.820000   -1.918000   -2.048500   2 'Ag    '     2.9219  119.0315    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.9236  120.5124    0.0000
    41    3   2.000  index, nleg, degeneracy, r=  4.4343
      x           y           z     ipot  label      rleg      beta        eta
   -1.990500    0.714500   -2.096500   2 'Ag    '     2.9779  119.6976    0.0000
   -2.730500   -1.156500    0.027000   2 'Ag    '     2.9253  119.2726    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.9654  121.0298    0.0000
    42    2   1.000  index, nleg, degeneracy, r=  4.8298
      x           y           z     ipot  label      rleg      beta        eta
   -0.324000    4.283000   -2.208500   2 'Ag    '     4.8298  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.8298  180.0000    0.0000
    43    2   1.000  index, nleg, degeneracy, r=  4.8557
      x           y           z     ipot  label      rleg      beta        eta
   -3.024000    3.285000    1.908500   2 'Ag    '     4.8557  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.8557  180.0000    0.0000
    44    2   1.000  index, nleg, degeneracy, r=  4.8934
      x           y           z     ipot  label      rleg      beta        eta
   -1.030500    2.407000   -4.134000   2 'Ag    '     4.8934  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.8934  180.0000    0.0000
    45    2   1.000  index, nleg, degeneracy, r=  4.9023
      x           y           z     ipot  label      rleg      beta        eta
    1.168500   -2.515000    4.042500   2 'Ag    '     4.9023  180.0000    0.0000
