cpu-bind=MASK - cn045, task  0  0 [2772101]: mask 0x51390200513902 set
cpu-bind=MASK - cn045, task  0  0 [2772189]: mask 0x51390200513902 set
cpu-bind=MASK - cn045, task  1  1 [2772190]: mask 0x51390200513902 set
LAMMPS (12 Jun 2025 - Development - patch_12Jun2025-673-gd34d6b79e3-modified)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (50 50 50)
  1 by 1 by 2 MPI processor grid
  reading atoms ...
  147 atoms
  read_data CPU = 0.001 seconds
Loading MACE model from 'mace-mpa-0-medium-47-79.json' ... success
  mapping LAMMPS type 1 (Ag) to MACE type 0
  mapping LAMMPS type 2 (Au) to MACE type 1
System init for write_data ...
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 13 13 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair symmetrix/mace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.404 | 3.467 | 3.53 Mbytes
   Step          Temp          Press            Lx             Ly             Lz           Volume         TotEng         PotEng
        88   146.38497      100.6113       50             50             50             125000        -2.7560933     -2.7748863
        89   147.75372      100.06379      50             50             50             125000        -2.7560701     -2.7750388
        90   149.11127      99.472807      50             50             50             125000        -2.7560464     -2.7751895
        91   150.44235      98.852017      50             50             50             125000        -2.7560223     -2.7753362
        92   151.73289      98.214403      50             50             50             125000        -2.7559978     -2.7754773
        93   152.97019      97.57086       50             50             50             125000        -2.7559727     -2.7756112
        94   154.14309      96.936527      50             50             50             125000        -2.7559473     -2.7757363
        95   155.24212      96.319603      50             50             50             125000        -2.7559215     -2.7758516
        96   156.25957      95.727858      50             50             50             125000        -2.7558952     -2.7759559
        97   157.18949      95.167386      50             50             50             125000        -2.7558686     -2.7760487
        98   158.02761      94.645457      50             50             50             125000        -2.7558416     -2.7761293
        99   158.77133      94.167299      50             50             50             125000        -2.7558143     -2.7761975
       100   159.41955      93.733118      50             50             50             125000        -2.7557867     -2.7762531
       101   159.9726       93.34695       50             50             50             125000        -2.7557588     -2.7762962
       102   160.43202      93.010227      50             50             50             125000        -2.7557306     -2.776327
       103   160.80045      92.721714      50             50             50             125000        -2.7557022     -2.7763459
       104   161.08145      92.480058      50             50             50             125000        -2.7556736     -2.7763534
       105   161.27934      92.28228       50             50             50             125000        -2.7556448     -2.77635
       106   161.39903      92.126505      50             50             50             125000        -2.7556158     -2.7763364
       107   161.44592      92.006692      50             50             50             125000        -2.7555867     -2.7763133
       108   161.42579      91.919305      50             50             50             125000        -2.7555575     -2.7762815
       109   161.34474      91.858879      50             50             50             125000        -2.7555281     -2.7762417
       110   161.20922      91.821742      50             50             50             125000        -2.7554987     -2.7761949
       111   161.02591      91.798143      50             50             50             125000        -2.7554692     -2.7761418
       112   160.80179      91.784193      50             50             50             125000        -2.7554396     -2.7760835
       113   160.54408      91.771427      50             50             50             125000        -2.75541       -2.7760208
       114   160.26027      91.750943      50             50             50             125000        -2.7553803     -2.7759547
       115   159.95819      91.714983      50             50             50             125000        -2.7553507     -2.7758862
       116   159.64593      91.655799      50             50             50             125000        -2.755321      -2.7758165
       117   159.33183      91.568478      50             50             50             125000        -2.7552913     -2.7757464
       118   159.02434      91.440406      50             50             50             125000        -2.7552616     -2.7756773
       119   158.73196      91.263752      50             50             50             125000        -2.7552319     -2.7756101
       120   158.46317      91.03299       50             50             50             125000        -2.7552022     -2.7755459
       121   158.22636      90.741002      50             50             50             125000        -2.7551726     -2.7754858
       122   158.02961      90.377458      50             50             50             125000        -2.7551429     -2.7754309
       123   157.88053      89.935368      50             50             50             125000        -2.7551133     -2.7753821
       124   157.78613      89.406428      50             50             50             125000        -2.7550837     -2.7753404
       125   157.75263      88.785961      50             50             50             125000        -2.7550541     -2.7753065
       126   157.78537      88.067278      50             50             50             125000        -2.7550245     -2.7752811
       127   157.88859      87.249763      50             50             50             125000        -2.7549949     -2.7752647
       128   158.0654       86.328928      50             50             50             125000        -2.7549652     -2.7752578
       129   158.31764      85.305208      50             50             50             125000        -2.7549356     -2.7752606
       130   158.64586      84.175278      50             50             50             125000        -2.754906      -2.7752731
       131   159.04927      82.937938      50             50             50             125000        -2.7548763     -2.7752952
       132   159.52578      81.595392      50             50             50             125000        -2.7548466     -2.7753266
       133   160.07213      80.150267      50             50             50             125000        -2.7548168     -2.775367
       134   160.68391      78.606086      50             50             50             125000        -2.754787      -2.7754158
       135   161.35569      76.966913      50             50             50             125000        -2.7547572     -2.7754721
       136   162.08118      75.239252      50             50             50             125000        -2.7547272     -2.7755354
       137   162.85337      73.429258      50             50             50             125000        -2.7546973     -2.7756045
       138   163.66475      71.547603      50             50             50             125000        -2.7546672     -2.7756786
       139   164.50748      69.597226      50             50             50             125000        -2.7546371     -2.7757567
       140   165.37359      67.584966      50             50             50             125000        -2.7546069     -2.7758377
       141   166.25516      65.520182      50             50             50             125000        -2.7545767     -2.7759207
       142   167.14444      63.408734      50             50             50             125000        -2.7545464     -2.7760045
       143   168.03407      61.258351      50             50             50             125000        -2.7545161     -2.7760884
       144   168.91714      59.076853      50             50             50             125000        -2.7544857     -2.7761714
       145   169.78733      56.870968      50             50             50             125000        -2.7544552     -2.7762527
       146   170.63888      54.646596      50             50             50             125000        -2.7544248     -2.7763315
       147   171.46659      52.405306      50             50             50             125000        -2.7543943     -2.7764073
       148   172.26584      50.157628      50             50             50             125000        -2.7543638     -2.7764794
       149   173.03257      47.906923      50             50             50             125000        -2.7543333     -2.7765474
       150   173.76317      45.656938      50             50             50             125000        -2.7543028     -2.7766107
       151   174.45439      43.412665      50             50             50             125000        -2.7542724     -2.776669
       152   175.10322      41.178201      50             50             50             125000        -2.754242      -2.7767219
       153   175.70681      38.954567      50             50             50             125000        -2.7542117     -2.776769
       154   176.26235      36.743713      50             50             50             125000        -2.7541814     -2.7768101
       155   176.76701      34.552986      50             50             50             125000        -2.7541512     -2.7768447
       156   177.21786      32.385891      50             50             50             125000        -2.7541211     -2.7768725
       157   177.61179      30.243483      50             50             50             125000        -2.7540911     -2.776893
       158   177.94547      28.128891      50             50             50             125000        -2.7540612     -2.776906
       159   178.21539      26.045541      50             50             50             125000        -2.7540314     -2.7769109
       160   178.41794      23.996145      50             50             50             125000        -2.7540018     -2.7769073
       161   178.54933      21.983615      50             50             50             125000        -2.7539724     -2.7768947
       162   178.60576      20.012719      50             50             50             125000        -2.7539431     -2.7768726
       163   178.58343      18.08853       50             50             50             125000        -2.7539139     -2.7768406
       164   178.47869      16.212922      50             50             50             125000        -2.753885      -2.7767982
       165   178.28809      14.387195      50             50             50             125000        -2.7538562     -2.776745
       166   178.00861      12.614842      50             50             50             125000        -2.7538277     -2.7766806
       167   177.63771      10.896414      50             50             50             125000        -2.7537993     -2.7766046
       168   177.17341      9.2330522      50             50             50             125000        -2.7537712     -2.7765169
       169   176.61448      7.6261392      50             50             50             125000        -2.7537434     -2.7764173
       170   175.96052      6.0745564      50             50             50             125000        -2.7537157     -2.7763057
       171   175.21201      4.5768922      50             50             50             125000        -2.7536884     -2.7761822
       172   174.3704       3.1294875      50             50             50             125000        -2.7536613     -2.7760471
       173   173.43829      1.7279948      50             50             50             125000        -2.7536344     -2.7759006
       174   172.41937      0.36826494     50             50             50             125000        -2.7536079     -2.7757432
       175   171.31857     -0.9543831      50             50             50             125000        -2.7535816     -2.7755756
       176   170.14208     -2.2464901      50             50             50             125000        -2.7535557     -2.7753986
       177   168.89736     -3.5180009      50             50             50             125000        -2.75353       -2.7752132
       178   167.59311     -4.7785544      50             50             50             125000        -2.7535046     -2.7750203
       179   166.23933     -6.0406696      50             50             50             125000        -2.7534795     -2.7748214
       180   164.84726     -7.3116642      50             50             50             125000        -2.7534547     -2.7746179
       181   163.42937     -8.6071196      50             50             50             125000        -2.7534302     -2.7744114
       182   161.99923     -9.9421976      50             50             50             125000        -2.753406      -2.7742036
       183   160.57146     -11.330279      50             50             50             125000        -2.7533821     -2.7739964
       184   159.16155     -12.788121      50             50             50             125000        -2.7533584     -2.7737917
       185   157.78577     -14.326809      50             50             50             125000        -2.7533351     -2.7735917
       186   156.46087     -15.961416      50             50             50             125000        -2.7533119     -2.7733985
       187   155.2039      -17.706965      50             50             50             125000        -2.7532891     -2.7732143
       188   154.03194     -19.58102       50             50             50             125000        -2.7532664     -2.7730412
       189   152.96176     -21.598427      50             50             50             125000        -2.753244      -2.7728814
       190   152.00956     -23.771273      50             50             50             125000        -2.7532218     -2.7727369
       191   151.19061     -26.11014       50             50             50             125000        -2.7531997     -2.7726097
       192   150.51901     -28.622953      50             50             50             125000        -2.7531778     -2.7725015
       193   150.00726     -31.319719      50             50             50             125000        -2.753156      -2.7724141
       194   149.66595     -34.210587      50             50             50             125000        -2.7531343     -2.7723486
       195   149.50353     -37.296535      50             50             50             125000        -2.7531127     -2.7723061
       196   149.52602     -40.580118      50             50             50             125000        -2.7530912     -2.7722875
       197   149.73684     -44.056348      50             50             50             125000        -2.7530697     -2.772293
       198   150.13661     -47.721823      50             50             50             125000        -2.7530481     -2.7723228
       199   150.72305     -51.570428      50             50             50             125000        -2.7530266     -2.7723765
       200   151.49094     -55.591883      50             50             50             125000        -2.7530049     -2.7724535
       201   152.4322      -59.776792      50             50             50             125000        -2.7529832     -2.7725526
       202   153.53595     -64.108182      50             50             50             125000        -2.7529614     -2.7726724
       203   154.78874     -68.567432      50             50             50             125000        -2.7529394     -2.7728113
       204   156.17468     -73.133372      50             50             50             125000        -2.7529173     -2.7729671
       205   157.6757      -77.78509       50             50             50             125000        -2.752895      -2.7731375
       206   159.27193     -82.497765      50             50             50             125000        -2.7528724     -2.7733199
       207   160.94201     -87.247204      50             50             50             125000        -2.7528497     -2.7735116
       208   162.66352     -92.005298      50             50             50             125000        -2.7528268     -2.7737096
       209   164.4133      -96.743059      50             50             50             125000        -2.7528036     -2.7739111
       210   166.16794     -101.43269      50             50             50             125000        -2.7527802     -2.7741129
       211   167.90413     -106.0457       50             50             50             125000        -2.7527565     -2.7743122
       212   169.59908     -110.55576      50             50             50             125000        -2.7527326     -2.7745059
       213   171.23088     -114.935        50             50             50             125000        -2.7527085     -2.7746913
