
======== running Feff module feff8l_pathfinder ========
 Preparing plane wave scattering amplitudes...
 Searching for paths...
   WARNING:  rmax > distance to most distant atom.
             Some paths may be missing.
             rmax, ratx   8.00000E+00  0.00000E+00
    Rmax  8.0000  keep and heap limits   0.0000000   0.0000000
    Preparing neighbor table
    nfound  heapsize  maxheap  maxscatt   reff
    335000    85143    86645      5      7.7604
    336000    85123    86645      5      7.7625
    337000    84997    86645      5      7.7632
    338000    85138    86645      5      7.7669
    339000    84794    86645      5      7.7671
    340000    84374    86645      5      7.7671
    341000    84045    86645      5      7.7677
    342000    83954    86645      5      7.7696
    343000    83683    86645      5      7.7699
    344000    83756    86645      5      7.7726
    345000    83318    86645      5      7.7729
    346000    83091    86645      5      7.7730
    347000    83084    86645      5      7.7746
    348000    83066    86645      5      7.7768
    349000    83045    86645      5      7.7787
    350000    82966    86645      5      7.7802
    351000    82995    86645      5      7.7813
    352000    82829    86645      5      7.7831
    353000    82561    86645      5      7.7845
    354000    82344    86645      5      7.7863
    355000    82066    86645      5      7.7875
    356000    81816    86645      5      7.7886
    357000    81861    86645      5      7.7919
    358000    81559    86645      5      7.7933
    359000    81353    86645      5      7.7942
    360000    81349    86645      5      7.7970
    361000    81315    86645      5      7.7992
    362000    81254    86645      5      7.8014
    363000    81179    86645      5      7.8019
    364000    81245    86645      5      7.8028
    365000    81121    86645      5      7.8039
    366000    80868    86645      5      7.8050
    367000    80848    86645      5      7.8054
    368000    80917    86645      5      7.8076
    369000    80772    86645      5      7.8092
    370000    80659    86645      5      7.8111
    371000    80536    86645      5      7.8129
    372000    80476    86645      5      7.8145
    373000    80329    86645      5      7.8153
    374000    80218    86645      5      7.8176
    375000    79879    86645      5      7.8176
    376000    79647    86645      5      7.8187
    377000    79295    86645      5      7.8205
    378000    79107    86645      5      7.8220
    379000    78688    86645      5      7.8229
    380000    78448    86645      5      7.8237
    381000    78120    86645      5      7.8241
    382000    77900    86645      5      7.8243
    383000    77791    86645      5      7.8259
    384000    77557    86645      5      7.8260
    385000    77293    86645      5      7.8263
    386000    77094    86645      5      7.8287
    387000    76744    86645      5      7.8287
    388000    76449    86645      5      7.8290
    389000    75997    86645      5      7.8290
    390000    75709    86645      5      7.8307
    391000    75639    86645      5      7.8330
    392000    75442    86645      5      7.8352
    393000    75035    86645      5      7.8356
    394000    74712    86645      5      7.8374
    395000    74492    86645      5      7.8392
    396000    74305    86645      5      7.8405
    397000    74042    86645      5      7.8424
    398000    73677    86645      5      7.8427
    399000    73344    86645      5      7.8430
    400000    73141    86645      5      7.8450
    401000    72905    86645      5      7.8458
    402000    72701    86645      5      7.8475
    403000    72272    86645      5      7.8478
    404000    71958    86645      5      7.8489
    405000    71493    86645      5      7.8489
    406000    71185    86645      5      7.8496
    407000    70898    86645      5      7.8501
    408000    70713    86645      5      7.8515
    409000    70426    86645      5      7.8541
    410000    70105    86645      5      7.8557
    411000    69838    86645      5      7.8579
    412000    69535    86645      5      7.8591
    413000    69224    86645      5      7.8603
    414000    69070    86645      5      7.8632
    415000    68658    86645      5      7.8645
    416000    68262    86645      5      7.8656
    417000    67992    86645      5      7.8664
    418000    67736    86645      5      7.8675
    419000    67360    86645      5      7.8675
    420000    67144    86645      5      7.8690
    421000    66987    86645      5      7.8705
    422000    66510    86645      5      7.8706
    423000    66002    86645      5      7.8706
    424000    65702    86645      5      7.8722
    425000    65566    86645      5      7.8730
    426000    65344    86645      5      7.8739
    427000    65103    86645      5      7.8746
    428000    64730    86645      5      7.8760
    429000    64395    86645      5      7.8770
    430000    64133    86645      5      7.8786
    431000    63897    86645      5      7.8805
    432000    63697    86645      5      7.8820
    433000    63402    86645      5      7.8831
    434000    62966    86645      5      7.8842
    435000    62669    86645      5      7.8859
    436000    62360    86645      5      7.8871
    437000    62053    86645      5      7.8875
    438000    61711    86645      5      7.8892
    439000    61229    86645      5      7.8903
    440000    60589    86645      5      7.8903
    441000    59995    86645      5      7.8904
    442000    59687    86645      5      7.8914
    443000    59319    86645      5      7.8919
    444000    58948    86645      5      7.8930
    445000    58604    86645      5      7.8941
    446000    58226    86645      5      7.8960
    447000    57710    86645      5      7.8971
    448000    57374    86645      5      7.8985
    449000    56949    86645      5      7.9014
    450000    56516    86645      5      7.9025
    451000    56142    86645      5      7.9038
    452000    55574    86645      5      7.9054
    453000    55198    86645      5      7.9071
    454000    54718    86645      5      7.9085
    455000    54394    86645      5      7.9097
    456000    53995    86645      5      7.9110
    457000    53567    86645      5      7.9125
    458000    53063    86645      5      7.9133
    459000    52539    86645      5      7.9143
    460000    52112    86645      5      7.9155
    461000    51660    86645      5      7.9155
    462000    51238    86645      5      7.9156
    463000    50864    86645      5      7.9165
    464000    50307    86645      5      7.9175
    465000    49894    86645      5      7.9190
    466000    49583    86645      5      7.9194
    467000    49100    86645      5      7.9204
    468000    48473    86645      5      7.9206
    469000    47703    86645      5      7.9210
    470000    46992    86645      5      7.9212
    471000    46509    86645      5      7.9220
    472000    46079    86645      5      7.9233
    473000    45532    86645      5      7.9245
    474000    45144    86645      5      7.9262
    475000    44764    86645      5      7.9281
    476000    44325    86645      5      7.9293
    477000    43992    86645      5      7.9317
    478000    43574    86645      5      7.9320
    479000    43144    86645      5      7.9321
    480000    42648    86645      5      7.9336
    481000    42078    86645      5      7.9342
    482000    41501    86645      5      7.9355
    483000    41041    86645      5      7.9370
    484000    40371    86645      5      7.9371
    485000    39843    86645      5      7.9375
    486000    39233    86645      5      7.9376
    487000    38796    86645      5      7.9395
    488000    38401    86645      5      7.9398
    489000    37933    86645      5      7.9411
    490000    37538    86645      5      7.9425
    491000    37002    86645      5      7.9434
    492000    36600    86645      5      7.9435
    493000    36154    86645      5      7.9435
    494000    35596    86645      5      7.9463
    495000    35080    86645      5      7.9475
    496000    34618    86645      5      7.9481
    497000    34146    86645      5      7.9485
    498000    33723    86645      5      7.9505
    499000    33256    86645      5      7.9506
    500000    32718    86645      5      7.9522
    501000    32100    86645      5      7.9539
    502000    31759    86645      5      7.9550
    503000    31182    86645      5      7.9559
    504000    30489    86645      5      7.9559
    505000    29958    86645      5      7.9568
    506000    29244    86645      5      7.9571
    507000    28746    86645      5      7.9585
    508000    28117    86645      5      7.9585
    509000    27442    86645      5      7.9592
    510000    26851    86645      5      7.9610
    511000    26346    86645      5      7.9635
    512000    25702    86645      5      7.9640
    513000    25179    86645      5      7.9644
    514000    24589    86645      5      7.9655
    515000    24037    86645      5      7.9663
    516000    23496    86645      5      7.9680
    517000    22896    86645      5      7.9687
    518000    22465    86645      5      7.9712
    519000    21784    86645      5      7.9721
    520000    21128    86645      5      7.9733
    521000    20515    86645      5      7.9741
    522000    19924    86645      5      7.9755
    523000    19295    86645      5      7.9766
    524000    18558    86645      5      7.9773
    525000    17931    86645      5      7.9788
    526000    17194    86645      5      7.9790
    527000    16453    86645      5      7.9797
    528000    15596    86645      5      7.9809
    529000    15008    86645      5      7.9811
    530000    14433    86645      5      7.9811
    531000    13636    86645      5      7.9821
    532000    12804    86645      5      7.9833
    533000    12085    86645      5      7.9850
    534000    11386    86645      5      7.9850
    535000    10658    86645      5      7.9859
    536000     9910    86645      5      7.9875
    537000     9166    86645      5      7.9880
    538000     8398    86645      5      7.9881
    539000     7555    86645      5      7.9881
    540000     6742    86645      5      7.9888
    541000     6039    86645      5      7.9892
    542000     5209    86645      5      7.9905
    543000     4509    86645      5      7.9911
    544000     3867    86645      5      7.9928
    545000     3101    86645      5      7.9958
    546000     2306    86645      5      7.9966
    547000     1435    86645      5      7.9981
    548000      627    86645      5      7.9992
    Paths found   548824   (maxheap, maxscatt   86645   5)
 Eliminating path degeneracies...
    Plane wave chi amplitude filter   2.50%
    Unique paths    262,  total paths    1489
 Done with module 4: pathfinder.
